City,Country,Matched address,Latitude,Longitude
Bulawayo,Zimbabwe,"Bulawayo, Bulawayo Province, Zimbabwe",-20.15606,28.588706
Kwekwe,Zimbabwe,"Kwekwe, Zimbabwe",-18.794238,29.573345
Kadoma,Zimbabwe,"Kadoma, Zimbabwe",-18.205463,29.677078
Concession,Zimbabwe,"Concession, Mazowe, Zimbabwe",-17.372672,30.952824
Victoria Falls,Zimbabwe,"Victoria Falls, Livingstone Way, Zimbabwe",-17.923884,25.851725
Ruwa,Zimbabwe,"Ruwa, Goromonzi, Zimbabwe",-17.897155,31.237093
Accra,Ghana,"Accra, Ghana",5.560014,-0.205744
Akosombo,Ghana,"Akosombo, Eastern Region, Ghana",6.269799,0.050899
Kumasi,Ghana,"Kumasi, Ghana",6.698081,-1.62304
Tema,Ghana,"Tema, Ghana",5.659644,-0.009659
Addis Ababa,Ethiopia,"Addis Ababa, Ethiopia",9,38.75
Hawassa,Ethiopia,"1923 Hawassa, Ethiopia",7.048103,38.47861
Bishoftu,Ethiopia,"1034 Bishoftu, Ethiopia",8.750004,38.981734
Tripoli,Libya,"Tripoli, Libya",32.896672,13.177792
Benghazi,Libya,"Benghazi, Libya",32.128833,20.08172
Dar es Salaam,Tanzania,"11101 Dar es Salaam, Coastal Zone, Tanzania",-6.816084,39.280358
Kilimanjaro,Tanzania,"Uhuru Peak, Rombo, Kilimanjaro, Tanzania",-3.076408,37.353999
Arusha,Tanzania,"23210 Arusha, Arusha, Tanzania",-3.427534,36.708585
Morogoro,Tanzania,"Morogoro, Tanzania",-6.86835,37.8138
Usa River,Tanzania,"Usa River, Arusha, Tanzania",-3.371401,36.85822
Mwanza,Tanzania,"33102 Mwanza, Mwanza, Tanzania",-2.519691,32.901442
Zanzibar,Tanzania,"Zanzibar, Tanzania",-6.099944,39.320944
Shinyanga,Tanzania,"578 Shinyanga, Shinyanga, Tanzania",-3.656205,33.427115
Dodoma,Tanzania,"Dodoma, Tanzania",-6.179118,35.746817
Iringa,Tanzania,"Iringa, Tanzania",-7.583843,35.494412
Khartoum,Sudan,"11114 Khartoum, Sudan",15.593325,32.53565
Omdurman,Sudan,"Omdurman, Khartoum State, Sudan",15.644554,32.477731
La Soukra,Tunisia,"سكرة, Tunisia",36.881081,10.231308
Le Kram,Tunisia,"2015 Tunis, Tunisia",36.847999,10.294356
Tunis,Tunisia,Tunisia,33.843941,9.400138
El Aouina,Tunisia,"العوينة الشمالية, Tunisia",33.172785,9.515519
La Goulette,Tunisia,"2060 La Goulette, Tunisia",36.817565,10.306839
Sousse,Tunisia,"Sousse, محمد معروف, Tunisia",35.828829,10.640525
Yaoundé,Cameroon,"Yaounde, Cameroon",3.868987,11.521334
Douala,Cameroon,"Communauté urbaine de Douala, Cameroon",4.053739,9.664437
Dakar,Senegal,"2084 Dakar, Senegal",14.693425,-17.447938
Bamako,Mali,"Bamako, Mali",12.649319,-8.000337
Nairobi,Kenya,"Nairobi, Kenya",-1.283253,36.817245
Limuru,Kenya,"Limuru, Kiambu County, Kenya",-1.115864,36.63931
Tatu City,Kenya,"Tatu City, Kiambu County, Kenya",-1.151442,36.900997
Kisumu,Kenya,"Kisumu, 40100, Kenya",-0.102911,34.754176
Nakuru,Kenya,"Nakuru, Kenya",-0.459821,36.10068
Mombasa,Kenya,"Mombasa, Kenya",-4.039015,39.648391
Thika,Kenya,"Thika, Kiambu County, Kenya",-1.036648,37.077523
Nanyuki,Kenya,"Nanyuki, Laikipia, Kenya",0.01403,37.074632
Kilifi,Kenya,"Kilifi, Kenya",-3.150739,39.675072
Juja,Kenya,"Juja, Kiambu County, Kenya",-1.103223,37.010895
Eldoret,Kenya,"Eldoret, Uasin Gishu, Kenya",0.514207,35.285325
Kisumu,Kenya,"Kisumu, 40100, Kenya",-0.102911,34.754176
Ruiru,Kenya,"Ruiru, Kiambu County, Kenya",-1.147271,36.960449
Molo,Kenya,"Molo, Baringo, Kenya",0.505158,36.090612
Diani Beach,Kenya,"Diani Beach, Diani Beach Road, Kwale, 80401, Kenya",-4.322126,39.575055
Kajiado,Kenya,"Kajiado County, Kenya",-2.121717,36.786255
Gilgil,Kenya,"Gilgil, Nakuru, Kenya",-0.498167,36.3254
Athi River,Kenya,"Athi River, Machakos, Kenya",-1.317492,37.56333
Kisii,Kenya,"Kisii, 40200, Kenya",-0.669412,34.767794
Kampala,Uganda,"Kampala, Uganda",0.317714,32.581354
Jinja,Uganda,"Jinja, Uganda",0.546547,33.224817
Kololo,Uganda,"Central, Uganda",0.333278,32.59346
NAGURU,Uganda,"Kampala, Uganda",0.341905,32.606366
Gayaza,Uganda,"Gayaza, Uganda",0.451786,32.611144
Entebbe,Uganda,"Entebbe, Uganda",0.061172,32.469856
Mbarara,Uganda,"Mbarara, Uganda",-0.522838,30.634127
Mukono,Uganda,"Mukono, Uganda",-0.083569,32.713666
Ivory Coast,Abidjan,"Abidjan, Côte d'Ivoire",5.409118,-4.04221
Lusaka,Zambia,"10101 Lusaka, Zambia",-15.416449,28.282154
Livingstone,Zambia,"Livingstone, Southern Province, Zambia",-17.853135,25.861429
Northwestern Province,Zambia,Zambia,-14.33333,28.5
Chilanga,Zambia,"010101 Chilanga, Zambia",-15.558751,28.275459
Chingola,Zambia,"00000 Chingola, Zambia",-12.547493,27.860042
Solwezi,Zambia,"Solwezi, North-Western Province, Zambia",-12.182055,26.399071
Mkushi,Zambia,"Mkushi, Central Province, Zambia",-13.614285,29.401649
